time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.2000000000000006,-0.05122975715485624,-0.10988841329576853,11.553994225289816,6.2477063524145,6.273667975794666,0.0,-0.05925988298364651,-0.2800763087237609,2.5894343579475003,-0.006863254634940607,-0.02452186033439592,0.0,442.63452610674506,443.3393752557359,441.5917041878753,443.042259522968
1.2600000000000007,-0.05455695202125478,-0.1275262161672671,11.715122846621805,6.24812772219817,6.2716278305596695,0.0,-0.0514686618999901,-0.3078252643899938,2.7810695688006897,0.025868070631985988,-0.07081207643658541,0.0,473.9876995423434,470.41597054739725,469.4162914358252,471.94932542635365
1.3200000000000007,-0.05740411379467716,-0.1466773337657089,11.883867792701572,6.249457411429514,6.266935102176461,0.0,-0.04301433970271429,-0.33040171890596465,2.8436069999316205,0.013467771167851066,-0.10019421662425197,0.0,432.36123767072286,429.8730907957718,434.51904840459883,433.4782893607942
1.3800000000000008,-0.05966853045315938,-0.16711561301130445,12.05506115629331,6.250849751860443,6.2609936626753395,0.0,-0.031928999891430845,-0.35077107143053576,2.8627839627877423,0.037761570187885785,-0.09678235541810645,0.0,418.42493672087164,418.7127587181626,417.7725983317559,419.88561039540207
1.4400000000000008,-0.061088878537556984,-0.18884457585465217,12.230462470276956,6.252896424226886,6.255137324996053,0.0,-0.014810341960215287,-0.37329226950474215,2.983611176540584,0.025574436007102453,-0.09930385033200229,0.0,450.85364057253315,450.64184981481407,452.57574848074375,451.59421754032024
1.5000000000000009,-0.06130497399988881,-0.21193785237479196,12.414888557174217,6.254359556244875,6.249167041238458,0.0,0.00827191845982616,-0.3963005269289342,3.1634287103954724,0.021895218835158995,-0.09990922256099309,0.0,470.11565743630257,470.0608128916187,469.956899469587,469.6716796707898
1.560000000000001,-0.06013211725834799,-0.23627023469472225,12.606290541678765,6.255681604039317,6.243138553050375,0.0,0.031389650168645845,-0.41465144150532346,3.216471531093365,0.022310485881886045,-0.10162970840335167,0.0,432.1480354716819,431.99394698095796,431.3974199958787,431.4325172085283
1.620000000000001,-0.05728597890414086,-0.26179102028627216,12.804996421402935,6.256636049860045,6.237255298923788,0.0,0.06414900373312522,-0.43589062794902433,3.406483441268853,-0.001703995481766805,-0.09172582717269101,0.0,473.8277931220275,474.5809456353374,475.37618859846475,473.5323428650159
1.680000000000001,-0.0522287715468847,-0.2886328968556274,13.01746505215471,6.256857765773338,6.232382212325714,0.0,0.10503725902202535,-0.45880823925763226,3.6749445823684583,0.012752808487443562,-0.06581045093412494,0.0,497.4904814505814,499.37961576968183,497.0926889463459,498.15092010658475
1.740000000000001,-0.044815303834041316,-0.3167311061399287,13.241850666219914,6.257686072800407,6.228686467096944,0.0,0.14246198155204706,-0.4777049942505566,3.804130230674882,0.015830731416908373,-0.05427815578481135,0.0,458.8580006770097,459.77000217330885,458.6467422628474,458.8910248454334
